GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SharedKernel,default,SharedKernel,0,70,0,2,0,9,0,4,0,3
SharedKernel,core,Entity,1,43,1,3,1,15,1,8,0,7
SharedKernel,core,AggregateRoot,0,3,0,0,0,2,0,1,0,1
SharedKernel,core,DomainEvent,0,18,0,0,0,8,0,4,0,4
SharedKernel,core,ValueObject,0,19,0,4,0,6,0,4,0,2
SharedKernel,core,BussinessRuleValidateExeption,15,22,2,0,2,9,2,4,1,4
SharedKernel,rule,NotNullRule,0,15,0,2,0,5,0,4,0,3
SharedKernel,rule,StringNotNullOrEmptyRule,0,19,1,3,0,7,1,4,0,3
