GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Infraestructure,default,ExtensionsInfrastructure,0,15,0,0,0,7,0,2,0,2
Infraestructure,EF.Contexts,IWriteDbContext,0,4,0,0,0,2,0,1,0,1
Infraestructure,EF.Repository,CheckInRepository,20,38,0,0,0,11,3,6,3,6
Infraestructure,EF.Repository,BaggageRepository,20,38,0,0,0,11,3,6,3,6
Infraestructure,EF,UnitOfWork,0,35,0,2,0,11,0,3,0,2
Infraestructure,EF.Contexts.MongoDb,WriteDbContext,237,55,14,0,49,16,24,3,17,3
